text,intent
"Yo, just shouw my playlist, bro.",view
"I was about to sleep, but I need Work from Home added!",add
"Delete Old Town Road, I don't like it anymore.",remove
"Hey, can you delete my songs? Also, how's your day?",clear
Drop Finesse by Bruno Mars.,add
Show my playlist,view
"View my queue, pls.",view
Just vieew my music.,view
Please show me all the songs in my playlist.,view
Lisst them from newest to oldest.,view
"Do me a favor, and put Titanium in my playlist?",add
Checck if I have Levitating.,view
Show me all the songs I’ve added.,view
Can u delette Bad Guy?,remove
"Tak outt Demons, I'm tired of it.",remove
Take away all my added tracks,clear
Closer deserves a spot in my playlist.,add
Let me check my custom playlist,view
Can I view my saved playlist?,view
Please take out the first seven songs.,remove
Delete all content from my playlist,clear
Please wipe my playlist clean.,clear
"Erase "Layla" by Derek and the Dominos.",remove
"Take "Paradise" out of my favorites.",remove
Clear everything from my listening queue,clear
Add Sorry by Justin Bieber to my queue.,add
"Dlt "Back in Black" by ACDC.",remove
"Please delete "Livin on a Prayer".",remove
Clr the last 5 songs I added.,clear
"Ayo, bestie, put My Heart Will Go On in my playlist?",add
Add Counting Stars to my uplifting songs.,add
"Erase "Take Me to Church" from my songs.",remove
"Not feelin Starboy anymore, remuvee it.",remove
Delete the fourth and sixth tracks for me.,remove
Tak out Lose You to Love Me.,remove
"Oh, can u clr everything and play some rock?",clear
Add Bad Romance to my party songs.,add
Let me see my current playlist pls.,view
Add Can't Stop the Feeling! to my upbeat songs.,add
"Could you, like, inclde Sweet Child O' Mine to my list?",add
"Yo, dude, adt Lose Yourself, k?",add
Wipe every single track from my list.,clear
Please add One Kiss by Calvin Harris.,add
Can you put this in my 'Driving at Night' playlist?,add
"Play Lose Yourself by Eminem, but add it first.",add
I need Hotline Bling in my life! Add this song!,add
"Remove everything, pls.",clear
Display my playlist,view
Pls remuve Callaita from my list.,remove
Please erase all tracks in the playlist,clear
"Plz remuvee Firework, I'm tired of it.",remove
"Take Somebody That I Used to Know out, too depressing.",remove
Remove all tracks from my list,clear
"Take Forgotten off my list.",remove
Clear my list immediately,clear
"I dont recall all my songs, listt them.",view
"Delete My Immortal by Evanescence.",remove
Could you add Yellow by Coldplay to my list?,add
Can I view the songs in my list?,view
I need God's Plan gone from my list.,remove
"Take "Time" by Pink Floyd off my list.",remove
Show me the last songs I played,view
"Remove "Welcome to the Jungle" by Guns N'Roses.",remove
What’s in my top 10 songs?,view
Show my musics collection.,view
Can u clear my playlist?,clear
Put Smells Like Teen Spirit by Nirvana.,add
"If it's not too much, adde Sorry Not Sorry?",add
"Plz, empty my playlist!",clear
Show the tracks I added.,view
What’s in my workout playlist?,view
Please show me my song list.,view
"Take Billie Jean off my best songs playlist.",remove
You HAVE to pud All About That Bass on my playlit.,add
Please add Good 4 U by Olivia Rodrigo.,add
Put Boulevard of Broken Dreams by Green Day.,add
Erase everything I added,clear
Include Torn by Natalie Imbruglia in my list.,add
Checck my most skipped songs.,view
"Bruh, cleer my saved tracks, fr.",clear
"Please delete Shallow by Lady Gaga.",remove
Include Stuck With U in my list.,add
Delete the songs between the second and fifth positions.,remove
Please show me all the music in my playlist.,view
Erace Zapatillas.,remove
Remove The Sound of Silence.,remove
"Save Best of You by Foo Fighters in my queue.",add
I need to wipe my queue,clear
"No way I still have Cotton Eye Joe, ereas it all.",clear
"Delete the song Imagine.",remove
Can you insert Let’s Get Loud by Jennifer Lopez?,add
Can you include Memories by David Guetta?,add
Show me my entire playlist.,view
"Oof, can you delette my music?",clear
"Emty my music, thx!",clear
"Hey, can you chekk my songs? Also, how's your day?",view
Empty my playlist,clear
"Not to bother you, but could you put Hotel California in my list?",add
"Remove Blinding Lights by The Weeknd.",remove
Add Counting Stars by OneRepublic.,add
Please put No Tears Left to Cry in my pop list.,add
View my latest liked tracks.,view
Can you display my top songs?,view
"Hey dude, can u listt my songs?",view
"Can you remove Rockstar by Post Malone?",remove
Clear my listening history,clear
"Ayo, lisst what I've added so far.",view
What's the latest track I added?,view
"No way I still have Cotton Eye Joe, listt my songs.",view
"Plz removee Blinding Lights, I'm tired of it.",remove
Add Say You Won’t Let Go to my favorites.,add
